Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,State,Region,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
ORD-9529-KTi,2024-05-22,2025-04-20,Same Day,CUST-8086,Nicole Morse,Consumer,Florida,West,Furniture,Bookcases,Automated zero administration attitude,141.61,8.0,0.43,289.94
ORD-5542-fBs,2024-08-23,2025-04-20,Second Class,CUST-8094,Katherine Cannon,Corporate,Ohio,East,Office Supplies,Labels,Progressive heuristic extranet,1219.78,7.0,0.36,194.15
ORD-5461-Rqs,2024-11-20,2025-04-20,First Class,CUST-6020,Alicia Kelly,Corporate,Georgia,East,Technology,Phones,Monitored 3rdgeneration instruction set,1756.78,4.0,0.26,195.61
ORD-7438-CKF,2024-11-22,2025-04-20,Same Day,CUST-8441,Trevor Johnson,Home Office,California,West,Technology,Phones,Cloned bandwidth-monitored archive,589.45,7.0,0.44,573.68
ORD-8469-dha,2024-07-26,2025-04-20,Second Class,CUST-7225,Charles Decker,Corporate,Illinois,East,Office Supplies,Labels,Digitized fresh-thinking budgetary management,1383.01,3.0,0.23,446.1
ORD-7212-TeU,2025-03-14,2025-04-20,Second Class,CUST-5190,Laura Gaines,Home Office,New York,South,Furniture,Chairs,Implemented solution-oriented superstructure,832.98,8.0,0.01,253.68
ORD-8886-QDa,2025-03-19,2025-04-20,Same Day,CUST-8110,Lauren Nunez,Consumer,Illinois,Central,Technology,,Business-focused background data-warehouse,1386.52,3.0,0.36,-76.46
ORD-7071-aQI,2024-10-22,2025-04-20,Standard Class,CUST-1096,Sharon Brock,Consumer,Ohio,West,Furniture,Furnishings,Open-architected asynchronous toolset,763.57,7.0,0.02,-29.12
ORD-5480-ahQ,2024-06-24,2025-04-20,Second Class,CUST-7568,Tonya Howard,Consumer,New York,West,Office Supplies,Storage,Reactive next generation function,1540.62,1.0,0.21,109.52
ORD-6272-Zxw,2024-07-11,2025-04-20,Second Class,CUST-8177,Jessica Rodriguez,Consumer,New York,West,Office Supplies,Pens,Expanded background instruction set,17.03,5.0,0.01,297.63
ORD-1239-XYw,2025-04-16,2025-04-20,First Class,CUST-0555,Barry Williams,Home Office,Georgia,West,Office Supplies,Storage,Multi-layered full-range migration,441.58,8.0,0.23,241.88
ORD-8220-Pur,2024-07-13,2025-04-20,Second Class,CUST-1188,Andrew Stewart,Home Office,Illinois,West,Technology,Phones,Balanced methodical circuit,107.35,3.0,0.03,149.02
ORD-5805-CGl,2025-01-14,2025-04-20,Standard Class,CUST-1317,Timothy Ellison,Corporate,Texas,East,Furniture,Chairs,Focused logistical matrices,226.69,3.0,0.08,84.38
ORD-7236-kew,2025-02-23,2025-04-20,Same Day,CUST-8326,Edward Mcintyre,Home Office,Pennsylvania,East,Technology,Accessories,Extended intermediate application,195.32,5.0,0.16,697.53
ORD-7141-uMf,2024-05-22,2025-04-20,First Class,,Jordan Lee III,Corporate,Georgia,West,Furniture,Furnishings,Advanced stable alliance,252.83,5.0,0.16,213.76
ORD-0486-ryv,2024-10-26,2025-04-20,First Class,CUST-8595,Brad Conley,,Texas,South,Furniture,Tables,Progressive incremental hierarchy,1450.91,10.0,0.47,786.28
ORD-2833-OPn,2024-12-01,2025-04-20,Standard Class,CUST-7365,Phillip Ramos,Corporate,Pennsylvania,West,Office Supplies,Labels,Grass-roots motivating time-frame,1232.44,8.0,0.26,431.86
ORD-2365-Flk,,2025-04-20,Second Class,CUST-2821,Marilyn Bryant DVM,Home Office,Illinois,West,Office Supplies,Paper,Implemented uniform encryption,13.15,1.0,0.23,596.73
ORD-0344-eYp,2024-05-03,2025-04-20,Same Day,CUST-0742,Courtney Davis,Corporate,California,Central,Technology,Accessories,Multi-layered hybrid Internet solution,705.8,4.0,0.01,1.19
ORD-5791-HlT,2024-09-01,2025-04-20,First Class,CUST-6463,Lisa Lawson,Corporate,Illinois,Central,Office Supplies,Pens,Innovative 24hour hub,1536.39,2.0,0.34,141.36
ORD-2542-aIy,2025-01-04,2025-04-20,Second Class,CUST-9414,Alexander Winters,Consumer,Pennsylvania,Central,Technology,Phones,Ameliorated optimizing forecast,1845.34,8.0,0.46,597.25
ORD-2195-yXs,2024-07-12,2025-04-20,Same Day,CUST-5404,,Consumer,Georgia,Central,Technology,Accessories,Multi-layered maximized capacity,930.32,7.0,0.46,-143.98
ORD-8201-Bwz,2025-01-04,2025-04-20,Standard Class,CUST-2590,Madison Turner,Home Office,California,West,Technology,Copiers,Expanded zero administration solution,1159.02,6.0,0.4,688.03
ORD-0917-XOs,2025-03-23,2025-04-20,Second Class,CUST-5546,Paul Jones,Corporate,California,Central,Office Supplies,Binders,Decentralized homogeneous toolset,1967.4,9.0,0.42,370.98
ORD-9665-VPZ,2025-01-27,2025-04-20,First Class,CUST-9157,Curtis Young,,Pennsylvania,,Office Supplies,Paper,Compatible full-range frame,550.28,2.0,0.25,37.64
ORD-6297-cne,2024-07-17,2025-04-20,Second Class,CUST-9291,Diana Li,Home Office,Illinois,West,Office Supplies,Pens,Enhanced cohesive ability,233.34,1.0,0.39,713.35
ORD-5769-sYe,2024-09-13,2025-04-20,First Class,CUST-7010,Lori Jones,Corporate,New York,West,Office Supplies,Storage,Multi-tiered contextually-based paradigm,686.83,8.0,0.37,323.63
ORD-8368-fUt,2025-02-06,2025-04-20,First Class,CUST-9423,Donald Whitehead,Home Office,New York,West,Office Supplies,Paper,Virtual attitude-oriented Local Area Network,1451.9,8.0,0.19,664.81
ORD-2538-AVk,2025-03-26,2025-04-20,Standard Class,CUST-7342,Ms. Kimberly Evans,Consumer,Texas,Central,Furniture,Chairs,Upgradable zero administration paradigm,939.08,1.0,0.05,566.18
ORD-9596-ouC,2025-03-27,2025-04-20,First Class,CUST-7189,Derek Wright,,Illinois,West,Technology,Copiers,Profit-focused neutral flexibility,648.55,4.0,0.14,332.28
ORD-1480-wPF,2024-06-28,2025-04-20,Standard Class,CUST-5909,Corey Welch,Consumer,New York,Central,Office Supplies,Binders,Persevering solution-oriented architecture,237.78,10.0,0.28,-97.62
ORD-4328-aKx,2024-04-25,2025-04-20,Standard Class,CUST-7209,Travis Joyce,Corporate,New York,Central,Technology,Copiers,Operative leadingedge installation,1152.43,3.0,0.04,413.26
ORD-5027-EJL,2024-08-17,2025-04-20,Same Day,CUST-2146,Heather Brooks DDS,Consumer,New York,East,Office Supplies,Storage,Cross-group asynchronous benchmark,946.76,1.0,0.05,-146.2
ORD-1202-wMj,2024-05-07,2025-04-20,Second Class,CUST-5793,Christopher Jackson,Home Office,Georgia,Central,Office Supplies,Labels,Persistent logistical concept,631.76,4.0,0.36,470.87
ORD-1316-nvw,2024-06-25,2025-04-20,Same Day,CUST-7878,Angela Bell,Home Office,New York,East,Technology,Phones,Public-key explicit Internet solution,1627.57,8.0,0.05,110.39
ORD-9506-zUE,2024-09-28,2025-04-20,Same Day,CUST-2244,Marie Bell,Consumer,Florida,West,Technology,Machines,User-centric national analyzer,1723.58,10.0,0.13,163.45
ORD-4498-VAR,2024-08-31,2025-04-20,Standard Class,CUST-0070,Nancy Coleman,Corporate,Georgia,East,Furniture,Bookcases,Persistent foreground orchestration,140.08,2.0,0.18,261.24
ORD-5285-VLk,2024-10-27,2025-04-20,Standard Class,CUST-8204,Cory Galloway,Home Office,New York,East,Furniture,Bookcases,Extended secondary parallelism,817.32,2.0,0.16,449.45
ORD-5955-YMS,2024-05-31,2025-04-20,Same Day,CUST-5286,Jesse Wilson,Corporate,Ohio,West,Office Supplies,Storage,Automated intangible intranet,1245.54,9.0,0.08,282.37
ORD-8753-cni,2024-12-07,2025-04-20,Second Class,CUST-4119,Jennifer Carter,Home Office,Ohio,South,Furniture,Bookcases,Multi-tiered client-driven product,1138.75,6.0,0.27,36.15
ORD-1227-Udf,2025-04-05,2025-04-20,Same Day,CUST-4240,Autumn Sanders,Consumer,Georgia,Central,Technology,Phones,Horizontal executive access,1114.62,8.0,0.09,755.88
ORD-4807-nXo,2025-03-01,2025-04-20,Same Day,CUST-4365,Heidi Garcia,Corporate,Georgia,East,Furniture,Chairs,Function-based reciprocal definition,190.16,3.0,0.44,703.26
ORD-3028-beV,2024-12-25,2025-04-20,,CUST-5981,Mark Peters,Home Office,New York,South,Technology,Phones,Object-based upward-trending frame,1067.2,7.0,0.31,247.16
ORD-7008-aic,2024-07-25,2025-04-20,Standard Class,CUST-6595,Patrick Chang,Home Office,Illinois,South,Furniture,Bookcases,Open-architected directional Local Area Network,1438.4,6.0,0.5,382.73
ORD-0322-vGk,2025-04-15,2025-04-20,Second Class,CUST-2174,Lindsey Lawson,Corporate,California,Central,Technology,Machines,Persevering 24/7 pricing structure,1803.14,1.0,0.0,360.03
ORD-9080-aRA,2025-02-16,2025-04-20,Standard Class,CUST-1240,Caleb Sosa,Consumer,Florida,South,Office Supplies,Binders,Stand-alone upward-trending instruction set,1407.42,7.0,0.31,511.77
ORD-7180-vBy,2024-06-08,2025-04-20,Same Day,CUST-7730,Christopher Montes,Home Office,Florida,West,Office Supplies,Labels,Persevering high-level info-mediaries,954.99,4.0,0.28,643.33
ORD-9134-Pwj,2024-10-20,2025-04-20,Second Class,CUST-9811,Brenda Porter,Corporate,New York,West,Office Supplies,Labels,Visionary radical pricing structure,33.09,1.0,,684.89
ORD-6825-TGg,2025-03-02,2025-04-20,,CUST-4625,Tracey Schmidt,Consumer,New York,South,Technology,Machines,Streamlined tangible framework,1721.7,10.0,0.47,423.25
ORD-5350-qjj,2025-01-03,2025-04-20,Same Day,CUST-9548,Jason Smith,Home Office,Georgia,South,Office Supplies,Storage,Versatile secondary concept,717.06,3.0,0.21,-192.57
ORD-3809-uik,2024-07-27,2025-04-20,Standard Class,CUST-6431,William Wang,Corporate,Pennsylvania,East,Office Supplies,Paper,Object-based foreground neural-net,1956.68,10.0,0.24,168.58
ORD-7033-dou,2025-04-09,2025-04-20,First Class,CUST-8281,Louis Sanders,Consumer,Illinois,South,Technology,Machines,,1038.73,9.0,0.44,-111.55
ORD-1934-gFi,2024-05-09,2025-04-20,Standard Class,CUST-4114,Cody Edwards,Home Office,California,Central,Office Supplies,Binders,Customer-focused multi-state challenge,1074.72,1.0,0.23,312.66
ORD-9893-tja,2024-07-25,2025-04-20,Standard Class,CUST-8806,Miss Sylvia Armstrong,Corporate,Pennsylvania,Central,Office Supplies,Storage,Profound exuding instruction set,585.52,1.0,0.35,397.64
ORD-9779-oaI,2024-08-06,2025-04-20,Standard Class,CUST-3518,Heather Brown,Consumer,Georgia,West,Office Supplies,Storage,Centralized uniform moratorium,1149.99,5.0,0.4,424.32
ORD-7371-Amd,2024-07-29,2025-04-20,First Class,CUST-8215,Nicholas Copeland,Consumer,Texas,Central,Office Supplies,Labels,Ameliorated attitude-oriented pricing structure,511.58,10.0,0.14,657.86
ORD-2453-Mtw,2024-06-03,2025-04-20,Second Class,CUST-4028,Alexander Mcclure,Home Office,New York,South,Furniture,Chairs,Profound bandwidth-monitored budgetary management,745.84,3.0,0.13,500.77
ORD-8372-cEZ,2024-09-02,2025-04-20,First Class,CUST-4953,Lynn Jackson,Corporate,Texas,West,Office Supplies,Paper,Triple-buffered hybrid benchmark,1195.13,3.0,0.42,552.76
ORD-4203-Rpp,2025-04-20,2025-04-20,Second Class,CUST-6692,Michael Taylor,Home Office,Georgia,West,Office Supplies,Labels,Assimilated bifurcated Graphic Interface,429.6,6.0,0.03,64.4
ORD-5265-xVi,2024-08-29,2025-04-20,Second Class,CUST-5599,Frederick Scott,Corporate,Ohio,South,Furniture,Chairs,Reactive logistical model,609.72,9.0,0.12,483.51
ORD-1178-RTr,2024-06-26,2025-04-20,Standard Class,CUST-0407,Anna Brown,Consumer,Ohio,East,Office Supplies,Labels,User-friendly impactful info-mediaries,584.7,8.0,0.19,115.69
ORD-9969-daM,2024-10-20,2025-04-20,First Class,CUST-0687,Allen Lamb,Home Office,Pennsylvania,South,Technology,Phones,Adaptive bifurcated database,1224.87,5.0,0.17,67.09
ORD-9320-TTf,2024-08-24,2025-04-20,Same Day,CUST-5631,Christina Herring,Corporate,Florida,West,Furniture,Bookcases,Optimized actuating utilization,1044.71,3.0,0.16,-189.42
ORD-5605-LEq,2025-03-05,2025-04-20,First Class,CUST-7072,Brandon Johnson,Corporate,Texas,East,Furniture,Chairs,Secured explicit instruction set,1374.14,6.0,0.11,83.3
ORD-0227-BEj,2024-10-03,2025-04-20,First Class,CUST-9619,Christopher Roberts,Home Office,Texas,East,Furniture,Chairs,Cross-group tangible access,1877.63,4.0,0.48,438.08
ORD-7018-Uxu,2024-08-02,2025-04-20,First Class,CUST-7759,Kenneth Rodriguez,Home Office,New York,South,Technology,Phones,Polarized tertiary encoding,1316.23,10.0,0.4,-15.23
ORD-7230-ZYq,2024-04-26,2025-04-20,Standard Class,CUST-1337,Alex Ramirez,Corporate,Georgia,East,Furniture,Tables,Down-sized full-range hub,1281.17,5.0,0.38,492.22
ORD-9407-NcJ,2024-11-25,2025-04-20,Standard Class,CUST-3039,Caroline Perez,Consumer,Texas,Central,Technology,Copiers,Focused 3rdgeneration focus group,1556.44,7.0,0.19,795.96
ORD-0278-Gcy,2025-03-11,2025-04-20,Second Class,CUST-0022,Carol Rojas,Corporate,,South,Office Supplies,Pens,Stand-alone actuating interface,1959.05,4.0,0.31,-21.56
ORD-9925-ofq,2024-08-02,2025-04-20,Second Class,CUST-6215,Jennifer Mooney,Home Office,Ohio,West,Office Supplies,Binders,Programmable upward-trending array,1231.79,2.0,0.46,515.4
ORD-0680-rXB,2025-04-19,2025-04-20,First Class,CUST-6198,Steven Hogan,Consumer,Illinois,South,Furniture,Chairs,Function-based incremental array,47.34,8.0,0.07,440.34
ORD-1158-ryX,2024-08-22,2025-04-20,Standard Class,CUST-4828,Jeffrey Morgan,Consumer,Pennsylvania,South,Furniture,Furnishings,Re-contextualized demand-driven focus group,1153.53,9.0,0.35,570.99
ORD-5432-WwH,2024-09-21,2025-04-20,Same Day,CUST-7177,Devin Murray,Home Office,Texas,West,Office Supplies,Labels,Vision-oriented full-range migration,16.58,8.0,0.06,335.3
ORD-8101-iOU,2025-04-13,2025-04-20,Standard Class,CUST-6059,Jeremy Perry,Corporate,California,East,Office Supplies,Pens,Total motivating circuit,737.06,6.0,0.04,259.64
ORD-6737-ZCh,2024-12-01,2025-04-20,Second Class,CUST-6178,Rebecca Ward,Home Office,California,South,Office Supplies,Paper,Reverse-engineered fault-tolerant superstructure,1324.86,5.0,0.35,696.46
,2025-01-05,2025-04-20,Same Day,CUST-3550,John Beck,Consumer,Georgia,West,Technology,Copiers,Synchronized attitude-oriented application,288.49,4.0,0.01,796.38
ORD-4222-SAu,2024-07-03,2025-04-20,Same Day,CUST-4707,Jennifer Clark,Consumer,Illinois,South,Furniture,Furnishings,Down-sized leadingedge capacity,1072.54,8.0,0.48,-183.58
ORD-8373-ZUf,2025-02-28,2025-04-20,Standard Class,CUST-3422,Amy Jones,Home Office,California,South,Office Supplies,Binders,Ameliorated well-modulated extranet,245.19,9.0,0.23,478.08
ORD-7806-Gbo,2024-12-15,2025-04-20,,CUST-1453,John Perez,Consumer,California,West,Technology,Accessories,Versatile transitional matrix,982.9,1.0,0.24,718.02
ORD-8561-MvM,2024-12-07,2025-04-20,Second Class,CUST-0969,James Holland,Consumer,New York,East,Furniture,Tables,Fully-configurable coherent data-warehouse,1810.28,2.0,0.23,-29.31
ORD-1045-Sid,2025-04-11,2025-04-20,First Class,CUST-3250,Mark Williams,Consumer,Georgia,West,Technology,Phones,Front-line dedicated contingency,135.59,4.0,0.21,611.52
ORD-2657-tTE,2024-08-10,2025-04-20,Standard Class,CUST-3130,Michelle Walker,Consumer,New York,Central,Technology,Machines,Streamlined solution-oriented customer loyalty,1674.49,4.0,0.38,393.09
ORD-2665-CGs,2025-02-16,2025-04-20,First Class,CUST-1808,Jeremy Henry,Corporate,New York,South,Office Supplies,Binders,Ameliorated disintermediate help-desk,344.42,6.0,0.28,238.66
ORD-4059-zRs,2024-11-19,2025-04-20,Second Class,CUST-8602,,Consumer,Ohio,West,Technology,Phones,Ameliorated stable conglomeration,41.1,8.0,0.04,-192.78
ORD-0577-vyg,2024-05-21,2025-04-20,Same Day,CUST-9699,Megan Levine,Home Office,Georgia,West,Furniture,Bookcases,Open-source web-enabled implementation,420.26,5.0,0.26,212.03
ORD-4102-dLK,2025-04-20,2025-04-20,Second Class,CUST-9076,Sean Tapia,Home Office,Georgia,East,Furniture,Chairs,Extended zero tolerance concept,1258.11,5.0,0.17,-195.43
ORD-9852-XPM,2024-12-29,2025-04-20,First Class,CUST-6230,Michael Keller,Home Office,Texas,Central,Furniture,Tables,Customizable needs-based open architecture,1726.83,9.0,0.25,264.22
ORD-9970-IlD,2024-12-23,2025-04-20,Standard Class,CUST-7251,Patricia Patel,Consumer,Florida,East,Technology,Accessories,Persistent 3rdgeneration frame,1595.26,8.0,0.25,-40.24
ORD-0319-EiM,2025-04-06,2025-04-20,Standard Class,CUST-9514,Patricia Smith,Corporate,Florida,South,Furniture,Chairs,Operative 6thgeneration standardization,510.25,10.0,0.4,558.41
ORD-9539-iWP,2024-06-04,2025-04-20,First Class,CUST-5585,Tony Fowler,Home Office,New York,West,Furniture,Chairs,Networked systemic alliance,1573.13,8.0,0.26,-129.14
ORD-6864-RwE,2024-06-19,2025-04-20,Standard Class,CUST-8636,Kelly Williams,Corporate,Florida,Central,,Furnishings,Inverse value-added initiative,467.83,2.0,0.16,-101.94
ORD-9783-GOK,2024-07-22,2025-04-20,Second Class,CUST-8440,Karen Martinez,Corporate,Florida,East,Technology,Machines,Customizable transitional approach,947.27,8.0,0.03,235.87
ORD-3728-ewm,2025-03-11,2025-04-20,,CUST-3089,Mr. Matthew Brown,Corporate,Pennsylvania,West,Furniture,Furnishings,Phased well-modulated projection,920.9,4.0,0.32,775.56
ORD-2370-xHV,2024-06-11,2025-04-20,Second Class,CUST-3709,Sherry Kelly,Consumer,California,Central,,Bookcases,Persevering radical policy,281.64,8.0,0.23,-28.8
ORD-4964-Dzy,2024-09-23,2025-04-20,Standard Class,CUST-5961,Robert Morris,Home Office,New York,West,Office Supplies,Paper,Visionary 24/7 application,1160.46,9.0,0.43,-113.53
ORD-5453-GSM,2024-11-03,2025-04-20,Second Class,CUST-6148,Austin Schneider,Home Office,Georgia,South,Technology,Machines,Compatible intermediate extranet,565.55,7.0,0.37,46.65
ORD-6952-itD,2024-10-09,2025-04-20,Second Class,CUST-2086,Jason Schwartz,Home Office,New York,East,Office Supplies,Labels,Self-enabling tangible attitude,841.37,1.0,0.02,270.65
ORD-8269-luq,2024-09-26,2025-04-20,Same Day,,Nancy Larsen,Home Office,Ohio,South,Technology,Phones,Innovative bottom-line archive,1621.34,2.0,0.23,40.51
ORD-9052-ers,2024-06-09,2025-04-20,Same Day,CUST-9299,Elizabeth Morgan,Consumer,New York,Central,Technology,Phones,Universal executive Internet solution,598.62,2.0,0.01,469.04
ORD-2103-cXI,2024-11-09,2025-04-20,First Class,CUST-6638,Sherri Harris,Corporate,Georgia,West,Furniture,Furnishings,Streamlined coherent open system,1749.66,7.0,0.09,671.55
ORD-2945-Xww,2025-01-27,2025-04-20,First Class,CUST-1179,Maria Gill,Home Office,Texas,South,Technology,Machines,Reduced didactic installation,1787.93,6.0,0.27,96.59
ORD-7694-GyI,2024-07-30,2025-04-20,Second Class,CUST-5943,Christopher Sutton,Home Office,Texas,Central,Office Supplies,Storage,Multi-tiered content-based intranet,1474.16,1.0,0.26,710.0
ORD-5025-geN,2024-10-14,2025-04-20,First Class,CUST-7666,Linda Maldonado,Corporate,Pennsylvania,South,Office Supplies,Binders,Balanced non-volatile monitoring,1242.08,6.0,0.18,448.17
ORD-4791-fsY,2025-01-24,2025-04-20,Second Class,CUST-5093,Jessica Bowers,Consumer,Pennsylvania,West,Technology,Phones,User-centric bi-directional open system,1083.87,8.0,0.37,552.28
ORD-3917-xTj,2024-08-01,2025-04-20,Second Class,CUST-5569,Cindy Meza,Corporate,Pennsylvania,Central,Technology,Accessories,Enterprise-wide upward-trending synergy,1012.1,7.0,0.14,-136.63
ORD-9019-nRJ,2024-07-09,2025-04-20,Same Day,CUST-8174,Christopher Mcgee,Home Office,Texas,South,Office Supplies,Labels,Advanced impactful success,1422.55,9.0,0.45,251.98
ORD-6132-nHX,2024-10-22,2025-04-20,Second Class,CUST-3894,Brianna Fisher,Corporate,Texas,East,Office Supplies,Binders,Horizontal didactic throughput,787.46,3.0,0.14,756.63
ORD-3149-uFb,2024-10-20,2025-04-20,Standard Class,CUST-8097,Kendra Murray,Consumer,New York,South,Furniture,Tables,Proactive dedicated solution,309.49,4.0,0.26,427.28
ORD-1045-hII,2024-08-28,,Second Class,CUST-1400,Katherine Dixon,Corporate,Pennsylvania,South,Office Supplies,Labels,Digitized 4thgeneration analyzer,893.28,1.0,0.15,-137.05
ORD-8946-qJq,2024-04-27,2025-04-20,Same Day,CUST-2473,Abigail Hoover,Home Office,Pennsylvania,Central,Furniture,Bookcases,Front-line national focus group,977.44,9.0,0.42,245.26
ORD-9496-kvi,2025-02-12,2025-04-20,Second Class,CUST-4922,Christopher Richards,Corporate,New York,Central,Office Supplies,Storage,Digitized fault-tolerant projection,461.3,6.0,0.49,569.75
ORD-1735-oOg,2024-05-06,2025-04-20,Standard Class,CUST-9261,Lisa Hernandez,Corporate,Georgia,West,Furniture,Tables,Managed radical help-desk,1241.07,3.0,0.36,85.25
ORD-4605-BqP,2025-02-15,2025-04-20,Second Class,CUST-5538,Travis Campos,Consumer,Texas,East,Furniture,Tables,Organic multi-tasking process improvement,1987.61,10.0,0.06,60.41
ORD-5893-vVl,2024-07-17,2025-04-20,First Class,CUST-3259,Kenneth Braun,Home Office,Pennsylvania,Central,Furniture,Tables,Mandatory interactive framework,304.41,8.0,0.27,-37.4
ORD-1468-BbZ,2024-06-06,2025-04-20,First Class,CUST-6519,James Chambers,Corporate,Georgia,West,Office Supplies,Binders,Seamless fresh-thinking solution,1896.1,6.0,0.08,770.15
ORD-4513-SVS,2025-03-11,2025-04-20,Standard Class,CUST-0364,Donald Reilly,Corporate,Illinois,West,Technology,Copiers,Configurable grid-enabled system engine,1601.16,8.0,0.17,-87.68
ORD-6777-TGt,2024-09-09,2025-04-20,Second Class,CUST-5440,Robin Kelly,Home Office,Texas,Central,Office Supplies,Binders,Right-sized web-enabled methodology,59.34,10.0,0.42,245.97
ORD-7947-iJt,2024-09-23,2025-04-20,First Class,CUST-6857,Joseph Garcia,Home Office,Florida,West,Furniture,Bookcases,Multi-channeled 5thgeneration function,1564.75,5.0,0.1,-116.41
ORD-0818-xxf,2024-10-02,2025-04-20,Same Day,CUST-1997,Erin White,Consumer,,Central,Office Supplies,Binders,Customer-focused multi-state software,1210.31,9.0,0.47,708.45
ORD-7194-akM,2024-10-13,2025-04-20,Second Class,CUST-7269,Amy Evans,Home Office,Ohio,Central,Office Supplies,Labels,Intuitive content-based knowledge user,778.36,1.0,0.14,151.36
